WAFERID,LOTID,WAFERNO,LOTTYPE,EVENTTIME,MATERIALID,SLOTNO,NETDIE,PRODCTGROUP,CATEGORY,EQPNAME,COMMENT,BINTOTAL,BIN00,BIN01,BIN02,BIN03,BIN04,BIN05,BIN06,BIN07,BIN08,BIN09,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21,BIN22,BIN23,BIN24,BIN25,BIN26,BIN27,BIN28,BIN29,BIN30
NBGAH0B9O,NBGAH0B90,B1IUXN,B,2022-02-01 02:20:34,SX897BH30F02,20,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4276,21,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF0551,NBGAF0550,B1ITDW,B,2022-02-01 02:27:07,SX897BH30F02,19,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4305,7,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF0552,NBGAF0550,B1ITDX,B,2022-02-01 02:27:07,SX897BH30F02,21,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4359,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF0553,NBGAF0550,B1ITDY,B,2022-02-01 02:27:07,SX897BH30F02,22,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4335,2,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF0554,NBGAF0550,B1ITDZ,B,2022-02-01 02:27:07,SX897BH30F02,1,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4354,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF0555,NBGAF0550,B1ITE0,B,2022-02-01 02:27:07,SX897BH30F02,2,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4358,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF0556,NBGAF0550,B1ITE1,B,2022-02-01 02:27:07,SX897BH30F02,3,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4341,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF0557,NBGAF0550,B1ITE2,B,2022-02-01 02:27:07,SX897BH30F02,4,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4310,3,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF0558,NBGAF0550,B1ITE3,B,2022-02-01 02:27:07,SX897BH30F02,16,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4338,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAF0559,NBGAF0550,B1ITE4,B,2022-02-01 02:27:07,SX897BH30F02,17,4082,TC-CSP,TC_DPX,외관검사기#10, ,4377,4347,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
